lat,lon,name,category
55.8119497,37.6364524,"ОАО ""Гипромез""",Офис
55.8105096,37.6346907,Росавтодор,Офис
55.8118852,37.6364457,Росреестр,Офис
55.8108625,37.6338437,Совинсервис,Офис
55.8123278,37.6355435,Финансовый университет,Университет
55.7735151,37.6501942,Нотариус Демина,Офис
55.7728776,37.6507534,ГУТА-Страхование,Офис
55.7688217,37.6384773,Совет ветеранов,Офис
55.7346676,37.662077,Автофрамос,Офис
55.7690245,37.6391192,Национальный телевизионный синдикат,Офис
55.7033466,37.6934392,Global Spirits,Офис
55.7393075,37.583298,Посольство Саудовской Аравии,Офис
55.771215,37.6327733,UpJet,Офис
55.6935615,37.625028,АЛД Автомотив,Офис
55.7385592,37.6585562,Театральный художественно-технический колледж №60,Университет
55.7684078,37.6257159,Фомин В. А.,Офис
55.7407358,37.5245694,Цезарь Сателлит,Офис
55.7677438,37.6435297,Басманная межрайонная прокуратура,Офис
55.7674675,37.644178,Московское общество защиты потребителей,Офис
55.7897637,37.6089304,"Центр еврейского образования ""Бейт швидлер""",Школа
55.7903447,37.5898813,Культура,Офис
55.7901459,37.5900741,Собеседник,Офис
55.7399193,37.6142711,МТС,Офис
55.7670562,37.6693082,СУ-25 Мосасфальтстрой,Офис
55.7671029,37.669294,"СУ-37 СП ОАО ""Дормост""",Офис
55.766624,37.6651002,"ООО ""НИИГАЗЭКОНОМИКА""",Офис
55.7671222,37.6657133,Жилищник Басманного района ОДС №9,Офис
55.7654436,37.6637889,Департамент труда и социальной защиты населения города Москвы,Офис
55.8050775,37.5670803,Петрол Плюс,Офис
55.7854739,37.5947769,Главное следственное управление ГУ МВД России по г. Москве,Офис
55.7915559,37.6767924,Ложкин Валерий Леонидович,Офис
55.7915826,37.676941,РЕСО-Гарантия,Офис
55.8026152,37.5538934,Билайн,Офис
55.7891166,37.606228,Московская еврейская община,Офис
55.693537,37.6245576,Альянс,Офис
55.7857837,37.5955218,Билайн,Офис
55.7652333,37.6222276,МАКС-М,Офис
55.7027559,37.691577,РАТ,Офис
55.780376,37.5909392,Лига Консультант,Офис
55.7397641,37.546152,Университет РАО,Университет
55.8120694,37.6352509,Персонал-сервис,Офис
55.8122952,37.6319266,Страховое общество Россия,Офис
55.8118453,37.6352256,Без названия,Офис
55.8123459,37.631937,Без названия,Офис
55.7039252,37.5759358,Гагаринская межрайонная прокуратура,Офис
55.7685526,37.6229967,Emirates,Офис
55.7045136,37.584728,IFK Hotel Management,Офис
55.7475548,37.5812492,Dolby CIS Limited,Офис
55.7607158,37.6481852,Свято-Филаретовский православно-христианский институт,Университет
55.8032055,37.582505,ВСК,Офис
55.8034934,37.5824511,Без названия,Офис
55.7687247,37.6477892,Без названия,Офис
55.734892,37.585825,Яндекс.Деньги,Офис
55.7982944,37.6046715,Популярная Механика,Офис
55.7974207,37.6035761,Мосгорбти,Офис
55.7694921,37.6288105,Московский центр развития социальных технологий,Офис
55.7713344,37.6321431,Без названия,Офис
55.7891244,37.6180103,УФМС по району Марьина Роща,Офис
55.7615313,37.6105685,Главстрой,Офис
55.762268,37.610142,Российские сети вещания и оповещения,Офис
55.8045274,37.5841715,МетЛайф Алико,Офис
55.7668171,37.7275087,Школа №77,Школа
55.763969,37.6284494,Военно-страховая компания,Офис
55.7714689,37.6372132,Аякс-Капиталъ,Офис
55.7543075,37.6034089,Центр социальной работы МВД России,Офис
55.803277,37.5611857,Администрация,Офис
55.8021433,37.5828981,Без названия,Офис
55.8037895,37.647121,РЖД,Офис
55.8041993,37.6428187,Первая страховая,Офис
55.803283,37.582233,Миэль,Офис
55.7594823,37.5862593,Посольство Тунисской республики,Офис
55.7756507,37.6765368,ГУТА Страхование,Офис
55.8163747,37.6401409,Ингосстрах,Офис
55.7430405,37.5062203,Zurich,Офис
55.7750456,37.5830733,Yota,Офис
55.7759847,37.585296,"Бюро переводов ""Трактат""",Офис
55.7775697,37.7379557,NSG,Офис
55.7615739,37.6156356,Дети Марии,Офис
55.7226125,37.5670349,"Благотворительный фонд ""Подари жизнь""",Офис
55.749793,37.6835194,"БФ ""Подари надежду""",Офис
55.7735859,37.5992051,Помоги.орг,Офис
55.7578532,37.6053595,"Центр равных возможностей ""Вверх""",Офис
55.7645053,37.5796064,"БФ ""Адреса милосердия""",Офис
55.7916639,37.6955817,"БФ ""Старшие братья старшие сестры""",Офис
55.7234777,37.5667524,"Фонд помощи хосписам ""Вера""",Офис
55.7164219,37.6109526,"Центр социокультурной анимации ""Одухотворение""",Офис
55.7604515,37.6807405,Международный социальный проект Натальи Фаустовой «Колыбельные для всей семьи»,Офис
55.7483279,37.5836067,"БФ ""Детские сердца""",Офис
55.7223853,37.65395,"БФ ""Дети наши""",Офис
55.7283534,37.5322694,"БФ ""Подсолнух""",Офис
55.7118875,37.6318323,Добровольческое движение Даниловцы,Офис
55.7271077,37.6098517,Предание.ру,Офис
55.7435069,37.5592118,Благотворительный фонд помощи взрослым «Живой»,Офис
55.7558,37.596031,Благотворительный фонд «Добросердие»,Офис
55.7026208,37.5667224,Благотворительнчй фонд помощи душевнобольным,Офис
55.7478434,37.5924404,Благотворительное сообщество переводчиков «Настоящее будущее»,Офис
55.7958694,37.5452347,"Благотворительный фонд ""Время добра""",Офис
55.7046893,37.65827,"Благотворительный фонд ""Красота-детям""",Офис
55.7757987,37.6120426,Благотворитльный фонд «Кто если не я?»,Офис
55.761037,37.618552,Федеральное агентство морского и речного транспорта,Офис
55.7684119,37.6479266,Транспортное агентство московского метрополитена,Офис
55.7504544,37.4978415,Институт современного искусства,Университет
55.7440965,37.5629169,Ростелеком,Офис
55.7924342,37.6073835,Ростелеком,Офис
55.8218723,37.5725639,МТС,Офис
55.8038849,37.6482398,Федеральное бюджетное учреждение «Регистр сертификации на федеральном железнодорожном транспорте»,Офис
55.7588364,37.6458316,Корнеева Наталья Васильевна,Офис
55.7464372,37.6548492,Петровское,Офис
55.7694461,37.6561546,Отдел регистрации прав на недвижимость по ЦАО Москвы,Офис
55.7200479,37.6100701,Визовый центр Швеции и Норвегии,Офис
55.7388274,37.6141638,Двитекс,Офис
55.7766799,37.5547136,нотариус Микаелян Л.С.,Офис
55.7642547,37.7032669,Нотариус Сегаева,Офис
55.8119159,37.6364513,Без названия,Офис
55.8185109,37.5738458,МТС,Офис
55.7617972,37.6228668,Посольство Молдовы,Офис
55.7278757,37.6140594,Визовый центр Испании BLS international,Офис
55.760766,37.6462899,Институт Психологии и Психоанализа на Чистых прудах,Университет
55.7063059,37.5965269,"Интернет-магазин ""CigarSmoker.ru""",Офис
55.7119481,37.5744215,Секретариат Юго-западного викариатства города Москвы,Офис
55.764905,37.6087057,Первая страховая компания,Офис
55.7649334,37.608679,Ларт недвижимость,Офис
55.7134173,37.6321926,Siemens,Офис
55.7687047,37.6063112,НПФ Благосостояние,Офис
55.7683989,37.6075272,Энерготехкомплект,Офис
55.7587681,37.6388306,Без названия,Офис
55.7591513,37.6382049,Детский фонд,Офис
55.7886829,37.5899063,Югория,Офис
55.7400701,37.5306865,Московский институт психоанализа,Университет
55.8106287,37.5710378,Многофункциональный центр предоставления государственных и муниципальных услуг района Тимирязевский,Офис
55.7605442,37.6018125,Отделение Пенсионного фонда РФ по г. Москве и Московской области,Офис
55.7528642,37.6109659,Приемная Государственной Думы,Офис
55.7762329,37.5944688,ИПМ им. М.В. Келдыша РАН,Университет
55.7531654,37.603626,Дом приёмов Правительства России,Офис
55.7641868,37.6058508,МегаФон,Офис
